what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1776922673945
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1776922673945
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1776922673950
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1776922673951
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1776922673951
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1776922673951
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1776922673960
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1776922673961
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1776922673961
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1776922673961
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1776922673961
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1776922673962
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1776922673962
os,sysinfo,,,"win32",1776922673963
arch,sysinfo,,,"x86",1776922673963
ws,sysinfo,,,"win32",1776922673963
locale,sysinfo,,,"en_US",1776922673963
processors,sysinfo,,,"12",1776922673963
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1776922673963
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1776922673963
java.specification.name,sysinfo,,,"Java Platform API Specification",1776922673963
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1776922673963
java.specification.version,sysinfo,,,"1.6",1776922673963
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1776922673963
java.version,sysinfo,,,"1.6.0_23",1776922673963
java.vm.info,sysinfo,,,"mixed mode",1776922673963
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1776922673963
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1776922673963
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1776922673963
java.vm.specification.version,sysinfo,,,"1.0",1776922673963
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1776922673963
java.vm.version,sysinfo,,,"19.0-b09",1776922673963
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1776922674012
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1776922674977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776922678382
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1776922680188
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1776922680254
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1776922680269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776922680399
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1776922680405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1776922680405
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1776922682021
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1776922682168
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1776922682187
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1776922682187
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1776922682188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776922683706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776922700629
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1776922701313
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1776922702474
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1776922702475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776922703799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776922710212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776922717110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776922718824
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1776922719502
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1776922719567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776922719636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776922730040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1776922730717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1776922730840
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1776922738696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776922742896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776922743838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1776922743893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776922750323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776922754997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1776922756497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1776922756976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1776922758536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776922759235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776922765741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1776922768269
