what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1776919477407
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1776919481008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919481324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919496501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919500933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919505905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919510262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919511908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919512249
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1776919512355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919512407
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1776919512418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919512501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919513317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1776919513793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919520002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919520972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1776919521040
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1776919521693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919523857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919524630
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1776919524719
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1776919534013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919534340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919535966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919539999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919543162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919545731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919547056
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1776919547358
error,log,,,"Failed Executing: make sim SPD=D:/CE433/DES-56bits-key/system_tb.spd ELF=D:/CE433/DES-56bits-key/software/des1/RUN_ON_HDL_SIMULATOR_ONLY_des1.elf ENABLE_VSIM_GUI=1 VSIM_DIR='E:/altera/13.0sp1/modelsim_ae/win32aloem'  return code: 2",1776919551419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919551450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919564167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919566831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919572303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919574962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919574993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919577636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919768399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919768696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919809134
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1776919812075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919817133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919832085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919833805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919837246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919838648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919841340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919841632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919842821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919845087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919848705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919851081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919853869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919857986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919859386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919860532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919863801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776919868877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920051657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1776920053646
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1776920055745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920057745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920060008
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1776920060257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920060395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920533730
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1776920534669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920549966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920561700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920564133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920574494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920584457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1776920586667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920587631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920590759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1776920595988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1776920597444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920598261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920601780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920605605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920609457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920624792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920701765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776920704213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776921058717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776921059241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776921059983
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776921060107
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1776921060693
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1776921060693
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1776921153582
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1776921153582
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1776921153582
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1776921153583
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1776921153583
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1776921153583
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1776921153583
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1776921153583
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1776921153583
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1776921153584
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1776921153584
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1776921153584
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1776921153584
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1776921153585
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1776921153585
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1776921153585
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1776921153585
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1776921153585
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1776921153585
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1776921153586
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1776921153586
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1776921153586
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1776921153586
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1776921153587
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1776921153587
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1776921153587
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1776921153587
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1776921153587
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1776921153588
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1776921153588
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1776921153588
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1776921153589
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1776921153589
